"","WBIC","Area","site_id","gdd10","gdd5","gdd0","peak_temp","coef_var.0.30","coef_var.30.60"
"19",15500,32613.96583,NA,2402.36245256498,3442.68806020513,4778.4926513469,35.4579181139227,0.428445397710284,0.243342253796421
"20",20300,225204.1607,NA,2100.22935269883,3153.61730801567,4546.1900037578,31.0168997748813,0.391618962403235,0.22103744044158
"21",21700,51617.38378,NA,1884.45941960148,2898.79996697725,4236.28483024529,31.5011535719304,0.403633359871553,0.217784215594062
"22",22100,598968.9782,NA,1826.6323366575,2834.65978905607,4162.46285042041,30.036332844052,0.427291069832908,0.21630947726997
"23",22200,157929.1422,NA,1754.49151815949,2736.40135439935,4024.14253885897,30.562655107023,0.403531809440462,0.20655035383849
"24",24000,51895.33674,NA,1889.34097239242,2927.53160451547,4295.85995089005,28.7965238975756,0.386920020238972,0.19253020926234
"25",24100,48481.80373,NA,1876.52973819488,2920.90537934866,4297.63714397946,28.4463716041957,0.383797135684217,0.189993971461812
"26",25100,1052884.855,NA,1838.58534428056,2859.51556217287,4195.52408554889,27.9931579717478,0.356537105944338,0.169315958589781
"27",25300,3791876.698,NA,1796.61038922355,2788.84822193032,4155.88043333026,27.8393241602443,0.359809294023352,0.210267625948398
"28",25600,174629.7813,NA,1829.08332923437,2812.24047122166,4090.43820640474,31.0597620155811,0.390897163937482,0.198750450958305
"29",27500,142865.6841,NA,1908.30697593691,2944.333750515,4296.56024570476,28.617131365395,0.365781999288641,0.169849437210358
"30",27900,62964.27367,NA,1886.16592987957,2887.67474289122,4204.12119207878,29.4040340628229,0.389958143100171,0.193990211174457
"31",28100,281915.9278,NA,1890.81614268233,2923.7087098722,4266.17220796362,28.3607984285773,0.358922592953335,0.169271449019305
"32",28300,219356.0191,NA,1861.50141788458,2886.76685841518,4227.51030606207,28.5015451166817,0.374804691857213,0.178491250732313
"33",28600,60846.51232,NA,1863.69564222725,2896.40516384108,4252.66015368891,28.5323216183576,0.389844827556436,0.192507060177214
"34",29300,68185.07492,NA,1825.00645421734,2823.35999163455,4141.9475916231,28.6667108067424,0.384900607350831,0.183173736467104
"35",29700,181418.9365,NA,1910.65475685389,2922.66842030678,4243.12472430375,29.2436933515255,0.373181300121018,0.17186791738521
"36",30300,856892.6308,NA,1959.86372756056,2975.57569466533,4294.52426764,29.6564518290868,0.346062083963288,0.155319793848116
"37",30500,243604.3032,NA,1926.46643235255,2937.61072648111,4249.99428782552,29.0618518712939,0.360270088933423,0.161553311097123
"38",32500,453018.8083,NA,1796.34863139178,2802.62102428405,4113.38450526736,28.0270683148501,0.3646923716056,0.164146384631466
"39",34100,53781.93955,NA,1883.00970062888,2879.36968197033,4179.59304318962,32.1263514664939,0.387011940233421,0.199200752344275
"40",35400,255096.7228,NA,1702.48084578882,2671.74197730062,3940.43161353917,30.0848900091977,0.400049302316319,0.212280296628283
"41",35900,280582.4446,NA,1838.93995141847,2836.55674845273,4143.89089620642,29.3890618267984,0.367020244123343,0.183700722561461
"42",36200,495397.3672,NA,1847.60434279163,2872.58474464064,4212.98970518951,28.1976288499596,0.362957849148804,0.172716704539253
"43",36700,344612.1573,NA,1827.21007128027,2816.1073314667,4108.29382189467,31.1697496836866,0.40652220208811,0.211780309857503
